user_id,event,event_date,ab_variant,device,channel
PF00017,onboarding_complete,2024-04-03,Control,Android,Organic Search
PF00017,kyc_submitted,2024-04-05,Control,Android,Organic Search
PF00018,app_open,2024-02-09,Variant_B,iOS,Referral
PF00018,signup_start,2024-02-09,Variant_B,iOS,Referral
PF00019,app_open,2024-03-27,Variant_B,Android,App Store
PF00019,signup_start,2024-03-29,Variant_B,Android,App Store
PF00019,signup_complete,2024-03-29,Variant_B,Android,App Store
PF00019,onboarding_start,2024-03-31,Variant_B,Android,App Store
PF00019,onboarding_complete,2024-03-31,Variant_B,Android,App Store
PF00020,app_open,2024-01-25,Variant_B,iOS,Organic Search
PF00020,signup_start,2024-01-26,Variant_B,iOS,Organic Search
PF00020,signup_complete,2024-01-26,Variant_B,iOS,Organic Search
PF00020,onboarding_start,2024-01-27,Variant_B,iOS,Organic Search
PF00020,onboarding_complete,2024-01-27,Variant_B,iOS,Organic Search
PF00021,app_open,2024-01-26,Control,iOS,Organic Search
PF00021,signup_start,2024-01-27,Control,iOS,Organic Search
PF00022,app_open,2024-03-30,Variant_B,Android,App Store
PF00022,signup_start,2024-04-01,Variant_B,Android,App Store
PF00023,app_open,2024-03-08,Variant_B,iOS,App Store
PF00024,app_open,2024-04-28,Variant_B,iOS,Organic Search
PF00025,app_open,2024-04-06,Variant_B,Android,Organic Search
PF00026,app_open,2024-05-22,Control,Web,Word of Mouth
PF00026,signup_start,2024-05-24,Control,Web,Word of Mouth
PF00026,signup_complete,2024-05-25,Control,Web,Word of Mouth
PF00027,app_open,2024-06-10,Control,Android,Organic Search
PF00028,app_open,2024-05-28,Control,iOS,Referral
PF00028,signup_start,2024-05-28,Control,iOS,Referral
PF00028,signup_complete,2024-05-30,Control,iOS,Referral
PF00028,onboarding_start,2024-05-31,Control,iOS,Referral
PF00028,onboarding_complete,2024-06-02,Control,iOS,Referral
PF00028,kyc_submitted,2024-06-02,Control,iOS,Referral
PF00028,kyc_approved,2024-06-03,Control,iOS,Referral
PF00029,app_open,2024-06-30,Control,iOS,Social Media
PF00029,signup_start,2024-07-01,Control,iOS,Social Media
PF00029,signup_complete,2024-07-03,Control,iOS,Social Media
PF00029,onboarding_start,2024-07-05,Control,iOS,Social Media
PF00029,onboarding_complete,2024-07-06,Control,iOS,Social Media
PF00029,kyc_submitted,2024-07-06,Control,iOS,Social Media
PF00030,app_open,2024-01-13,Control,Android,Social Media
PF00030,signup_start,2024-01-13,Control,Android,Social Media
PF00030,signup_complete,2024-01-14,Control,Android,Social Media
PF00030,onboarding_start,2024-01-14,Control,Android,Social Media
PF00030,onboarding_complete,2024-01-16,Control,Android,Social Media
PF00031,app_open,2024-03-15,Control,iOS,App Store
PF00032,app_open,2024-03-01,Control,Android,Referral
PF00032,signup_start,2024-03-01,Control,Android,Referral
PF00032,signup_complete,2024-03-03,Control,Android,Referral
PF00032,onboarding_start,2024-03-03,Control,Android,Referral
PF00032,onboarding_complete,2024-03-05,Control,Android,Referral
PF00032,kyc_submitted,2024-03-07,Control,Android,Referral
PF00032,kyc_approved,2024-03-07,Control,Android,Referral
PF00033,app_open,2024-04-08,Control,iOS,Paid Ads
PF00033,signup_start,2024-04-08,Control,iOS,Paid Ads
PF00033,signup_complete,2024-04-09,Control,iOS,Paid Ads
PF00033,onboarding_start,2024-04-10,Control,iOS,Paid Ads
PF00033,onboarding_complete,2024-04-11,Control,iOS,Paid Ads
PF00034,app_open,2024-04-26,Control,Android,Social Media
PF00034,signup_start,2024-04-27,Control,Android,Social Media
PF00035,app_open,2024-04-03,Control,Web,Referral
PF00035,signup_start,2024-04-04,Control,Web,Referral
PF00035,signup_complete,2024-04-05,Control,Web,Referral
PF00035,onboarding_start,2024-04-06,Control,Web,Referral
PF00036,app_open,2024-04-05,Variant_B,Android,Organic Search
PF00036,signup_start,2024-04-06,Variant_B,Android,Organic Search
PF00036,signup_complete,2024-04-08,Variant_B,Android,Organic Search
PF00037,app_open,2024-02-24,Variant_B,Android,Paid Ads
PF00038,app_open,2024-06-29,Control,iOS,Social Media
PF00038,signup_start,2024-06-30,Control,iOS,Social Media
PF00038,signup_complete,2024-07-02,Control,iOS,Social Media
PF00038,onboarding_start,2024-07-04,Control,iOS,Social Media
PF00039,app_open,2024-06-14,Variant_B,Web,Word of Mouth
PF00039,signup_start,2024-06-15,Variant_B,Web,Word of Mouth
PF00039,signup_complete,2024-06-15,Variant_B,Web,Word of Mouth
PF00039,onboarding_start,2024-06-17,Variant_B,Web,Word of Mouth
PF00039,onboarding_complete,2024-06-17,Variant_B,Web,Word of Mouth
PF00039,kyc_submitted,2024-06-18,Variant_B,Web,Word of Mouth
PF00039,kyc_approved,2024-06-18,Variant_B,Web,Word of Mouth
PF00039,first_transaction,2024-06-19,Variant_B,Web,Word of Mouth
PF00040,app_open,2024-06-04,Variant_B,iOS,App Store
PF00040,signup_start,2024-06-05,Variant_B,iOS,App Store
PF00040,signup_complete,2024-06-06,Variant_B,iOS,App Store
PF00041,app_open,2024-05-17,Control,Android,App Store
PF00042,app_open,2024-02-12,Control,Android,Referral
PF00042,signup_start,2024-02-14,Control,Android,Referral
PF00042,signup_complete,2024-02-15,Control,Android,Referral
PF00043,app_open,2024-04-07,Control,Android,Referral
PF00043,signup_start,2024-04-08,Control,Android,Referral
PF00044,app_open,2024-06-13,Variant_B,Web,Referral
PF00045,app_open,2024-05-23,Control,Android,Social Media
PF00045,signup_start,2024-05-24,Control,Android,Social Media
PF00045,signup_complete,2024-05-25,Control,Android,Social Media
PF00046,app_open,2024-06-24,Variant_B,Web,Referral
PF00046,signup_start,2024-06-26,Variant_B,Web,Referral
PF00047,app_open,2024-01-15,Control,Android,App Store
PF00048,app_open,2024-01-09,Control,iOS,Social Media
PF00049,app_open,2024-04-13,Variant_B,Android,Organic Search
PF00049,signup_start,2024-04-15,Variant_B,Android,Organic Search
PF00049,signup_complete,2024-04-16,Variant_B,Android,Organic Search
PF00049,onboarding_start,2024-04-17,Variant_B,Android,Organic Search
PF00049,onboarding_complete,2024-04-19,Variant_B,Android,Organic Search
PF00049,kyc_submitted,2024-04-20,Variant_B,Android,Organic Search
PF00050,app_open,2024-01-18,Variant_B,Web,Referral
PF00051,app_open,2024-05-26,Variant_B,iOS,Organic Search
PF00051,signup_start,2024-05-27,Variant_B,iOS,Organic Search
PF00052,app_open,2024-02-25,Control,Android,Paid Ads
PF00052,signup_start,2024-02-26,Control,Android,Paid Ads
PF00052,signup_complete,2024-02-28,Control,Android,Paid Ads
PF00053,app_open,2024-04-11,Control,iOS,Organic Search
PF00053,signup_start,2024-04-12,Control,iOS,Organic Search
PF00054,app_open,2024-02-07,Control,iOS,Referral
PF00054,signup_start,2024-02-07,Control,iOS,Referral
PF00054,signup_complete,2024-02-09,Control,iOS,Referral
PF00054,onboarding_start,2024-02-10,Control,iOS,Referral
PF00054,onboarding_complete,2024-02-10,Control,iOS,Referral
PF00054,kyc_submitted,2024-02-12,Control,iOS,Referral
PF00055,app_open,2024-02-06,Control,iOS,Word of Mouth
PF00056,app_open,2024-05-23,Control,iOS,Referral
PF00056,signup_start,2024-05-23,Control,iOS,Referral
PF00056,signup_complete,2024-05-24,Control,iOS,Referral
PF00057,app_open,2024-03-08,Control,iOS,Paid Ads
PF00057,signup_start,2024-03-08,Control,iOS,Paid Ads
PF00057,signup_complete,2024-03-10,Control,iOS,Paid Ads
PF00057,onboarding_start,2024-03-11,Control,iOS,Paid Ads
PF00058,app_open,2024-05-30,Control,iOS,Social Media
PF00058,signup_start,2024-05-31,Control,iOS,Social Media
PF00059,app_open,2024-04-02,Variant_B,Web,Word of Mouth
PF00059,signup_start,2024-04-03,Variant_B,Web,Word of Mouth
PF00059,signup_complete,2024-04-05,Variant_B,Web,Word of Mouth
PF00059,onboarding_start,2024-04-07,Variant_B,Web,Word of Mouth
PF00059,onboarding_complete,2024-04-07,Variant_B,Web,Word of Mouth
PF00060,app_open,2024-02-05,Variant_B,iOS,Organic Search
PF00060,signup_start,2024-02-06,Variant_B,iOS,Organic Search
PF00061,app_open,2024-01-25,Variant_B,Web,Social Media
PF00061,signup_start,2024-01-26,Variant_B,Web,Social Media
PF00061,signup_complete,2024-01-26,Variant_B,Web,Social Media
PF00061,onboarding_start,2024-01-26,Variant_B,Web,Social Media
PF00061,onboarding_complete,2024-01-28,Variant_B,Web,Social Media
PF00061,kyc_submitted,2024-01-30,Variant_B,Web,Social Media
PF00062,app_open,2024-01-30,Control,iOS,Referral
PF00062,signup_start,2024-01-31,Control,iOS,Referral
PF00062,signup_complete,2024-02-01,Control,iOS,Referral
PF00062,onboarding_start,2024-02-02,Control,iOS,Referral
PF00062,onboarding_complete,2024-02-03,Control,iOS,Referral
PF00062,kyc_submitted,2024-02-04,Control,iOS,Referral
PF00063,app_open,2024-06-09,Variant_B,Web,App Store
PF00064,app_open,2024-06-23,Control,Android,Social Media
PF00064,signup_start,2024-06-24,Control,Android,Social Media
PF00064,signup_complete,2024-06-26,Control,Android,Social Media
PF00065,app_open,2024-06-02,Control,Web,App Store
PF00066,app_open,2024-04-09,Control,iOS,App Store
PF00066,signup_start,2024-04-10,Control,iOS,App Store
PF00066,signup_complete,2024-04-11,Control,iOS,App Store
PF00067,app_open,2024-06-01,Variant_B,Web,Social Media
PF00067,signup_start,2024-06-03,Variant_B,Web,Social Media
PF00067,signup_complete,2024-06-03,Variant_B,Web,Social Media
PF00067,onboarding_start,2024-06-04,Variant_B,Web,Social Media
PF00067,onboarding_complete,2024-06-05,Variant_B,Web,Social Media
PF00067,kyc_submitted,2024-06-07,Variant_B,Web,Social Media
PF00068,app_open,2024-05-15,Variant_B,Android,Paid Ads
PF00068,signup_start,2024-05-15,Variant_B,Android,Paid Ads
PF00068,signup_complete,2024-05-16,Variant_B,Android,Paid Ads
PF00069,app_open,2024-05-22,Variant_B,iOS,Social Media
PF00070,app_open,2024-06-24,Variant_B,Web,Referral
PF00070,signup_start,2024-06-24,Variant_B,Web,Referral
PF00070,signup_complete,2024-06-25,Variant_B,Web,Referral
PF00070,onboarding_start,2024-06-27,Variant_B,Web,Referral
PF00070,onboarding_complete,2024-06-28,Variant_B,Web,Referral
PF00071,app_open,2024-06-23,Variant_B,Android,Social Media
PF00071,signup_start,2024-06-24,Variant_B,Android,Social Media
PF00071,signup_complete,2024-06-26,Variant_B,Android,Social Media
PF00071,onboarding_start,2024-06-27,Variant_B,Android,Social Media
PF00071,onboarding_complete,2024-06-29,Variant_B,Android,Social Media
PF00071,kyc_submitted,2024-06-29,Variant_B,Android,Social Media
PF00072,app_open,2024-06-13,Control,Web,Organic Search
PF00072,signup_start,2024-06-14,Control,Web,Organic Search
PF00073,app_open,2024-01-29,Variant_B,Android,Referral
PF00073,signup_start,2024-01-31,Variant_B,Android,Referral
PF00073,signup_complete,2024-01-31,Variant_B,Android,Referral
PF00073,onboarding_start,2024-02-01,Variant_B,Android,Referral
PF00073,onboarding_complete,2024-02-02,Variant_B,Android,Referral
PF00073,kyc_submitted,2024-02-04,Variant_B,Android,Referral
PF00074,app_open,2024-04-21,Variant_B,iOS,Paid Ads
PF00074,signup_start,2024-04-23,Variant_B,iOS,Paid Ads
PF00074,signup_complete,2024-04-24,Variant_B,iOS,Paid Ads
PF00074,onboarding_start,2024-04-25,Variant_B,iOS,Paid Ads
PF00075,app_open,2024-04-27,Variant_B,Web,Referral
PF00076,app_open,2024-03-09,Control,Android,Paid Ads
PF00077,app_open,2024-05-10,Control,Android,Paid Ads
PF00077,signup_start,2024-05-11,Control,Android,Paid Ads
PF00077,signup_complete,2024-05-11,Control,Android,Paid Ads
PF00077,onboarding_start,2024-05-13,Control,Android,Paid Ads
PF00077,onboarding_complete,2024-05-14,Control,Android,Paid Ads
PF00077,kyc_submitted,2024-05-15,Control,Android,Paid Ads
PF00077,kyc_approved,2024-05-16,Control,Android,Paid Ads
PF00078,app_open,2024-06-09,Variant_B,Android,Organic Search
PF00078,signup_start,2024-06-09,Variant_B,Android,Organic Search
PF00078,signup_complete,2024-06-11,Variant_B,Android,Organic Search
PF00078,onboarding_start,2024-06-13,Variant_B,Android,Organic Search
PF00078,onboarding_complete,2024-06-14,Variant_B,Android,Organic Search
PF00078,kyc_submitted,2024-06-15,Variant_B,Android,Organic Search
PF00079,app_open,2024-06-13,Variant_B,Android,Social Media
PF00079,signup_start,2024-06-15,Variant_B,Android,Social Media
PF00079,signup_complete,2024-06-15,Variant_B,Android,Social Media
PF00080,app_open,2024-06-04,Variant_B,iOS,Social Media
PF00081,app_open,2024-02-09,Control,Android,Paid Ads
PF00081,signup_start,2024-02-10,Control,Android,Paid Ads
PF00081,signup_complete,2024-02-12,Control,Android,Paid Ads
PF00082,app_open,2024-02-11,Control,Web,Referral
PF00082,signup_start,2024-02-12,Control,Web,Referral
PF00082,signup_complete,2024-02-12,Control,Web,Referral
PF00082,onboarding_start,2024-02-12,Control,Web,Referral
PF00083,app_open,2024-05-16,Control,iOS,App Store
PF00083,signup_start,2024-05-17,Control,iOS,App Store
PF00084,app_open,2024-06-03,Control,Android,Word of Mouth
PF00084,signup_start,2024-06-03,Control,Android,Word of Mouth
PF00084,signup_complete,2024-06-05,Control,Android,Word of Mouth
PF00085,app_open,2024-05-06,Control,Web,Paid Ads
PF00085,signup_start,2024-05-06,Control,Web,Paid Ads
PF00085,signup_complete,2024-05-07,Control,Web,Paid Ads
PF00085,onboarding_start,2024-05-08,Control,Web,Paid Ads
PF00085,onboarding_complete,2024-05-09,Control,Web,Paid Ads
PF00085,kyc_submitted,2024-05-09,Control,Web,Paid Ads
PF00086,app_open,2024-01-29,Variant_B,Android,App Store
PF00086,signup_start,2024-01-30,Variant_B,Android,App Store
PF00086,signup_complete,2024-01-31,Variant_B,Android,App Store
PF00086,onboarding_start,2024-02-01,Variant_B,Android,App Store
PF00086,onboarding_complete,2024-02-03,Variant_B,Android,App Store
PF00087,app_open,2024-03-20,Control,Android,Paid Ads
PF00087,signup_start,2024-03-21,Control,Android,Paid Ads
PF00088,app_open,2024-01-15,Variant_B,Android,Paid Ads
PF00089,app_open,2024-05-25,Control,Android,Referral
PF00089,signup_start,2024-05-25,Control,Android,Referral
PF00090,app_open,2024-01-22,Control,Web,App Store
PF00091,app_open,2024-05-04,Control,Android,App Store
PF00091,signup_start,2024-05-06,Control,Android,App Store
PF00092,app_open,2024-01-19,Variant_B,Android,Word of Mouth
PF00093,app_open,2024-05-16,Control,Android,Organic Search
PF00093,signup_start,2024-05-17,Control,Android,Organic Search
PF00094,app_open,2024-02-02,Variant_B,Android,Referral
PF00094,signup_start,2024-02-03,Variant_B,Android,Referral
PF00094,signup_complete,2024-02-05,Variant_B,Android,Referral
PF00094,onboarding_start,2024-02-05,Variant_B,Android,Referral
PF00094,onboarding_complete,2024-02-05,Variant_B,Android,Referral
PF00094,kyc_submitted,2024-02-06,Variant_B,Android,Referral
PF00094,kyc_approved,2024-02-07,Variant_B,Android,Referral
PF00094,first_transaction,2024-02-08,Variant_B,Android,Referral
PF00095,app_open,2024-05-01,Control,Web,Paid Ads
PF00096,app_open,2024-03-09,Control,iOS,Word of Mouth
PF00096,signup_start,2024-03-10,Control,iOS,Word of Mouth
PF00096,signup_complete,2024-03-10,Control,iOS,Word of Mouth
PF00096,onboarding_start,2024-03-11,Control,iOS,Word of Mouth
PF00096,onboarding_complete,2024-03-12,Control,iOS,Word of Mouth
PF00097,app_open,2024-02-25,Variant_B,Android,Social Media
PF00097,signup_start,2024-02-26,Variant_B,Android,Social Media
PF00097,signup_complete,2024-02-27,Variant_B,Android,Social Media
PF00098,app_open,2024-06-26,Control,Android,Organic Search
PF00098,signup_start,2024-06-26,Control,Android,Organic Search
PF00099,app_open,2024-03-20,Variant_B,Web,Social Media
PF00099,signup_start,2024-03-21,Variant_B,Web,Social Media
PF00099,signup_complete,2024-03-22,Variant_B,Web,Social Media
PF00099,onboarding_start,2024-03-24,Variant_B,Web,Social Media
PF00099,onboarding_complete,2024-03-25,Variant_B,Web,Social Media
PF00100,app_open,2024-06-20,Variant_B,Android,Social Media
PF00100,signup_start,2024-06-21,Variant_B,Android,Social Media
PF00100,signup_complete,2024-06-23,Variant_B,Android,Social Media
PF00100,onboarding_start,2024-06-24,Variant_B,Android,Social Media
PF00100,onboarding_complete,2024-06-26,Variant_B,Android,Social Media
PF00100,kyc_submitted,2024-06-28,Variant_B,Android,Social Media
PF00100,kyc_approved,2024-06-29,Variant_B,Android,Social Media
PF00100,first_transaction,2024-06-30,Variant_B,Android,Social Media
PF00101,app_open,2024-04-23,Control,Android,Referral
PF00102,app_open,2024-05-12,Variant_B,Android,Referral
PF00102,signup_start,2024-05-13,Variant_B,Android,Referral
PF00102,signup_complete,2024-05-15,Variant_B,Android,Referral
PF00103,app_open,2024-01-31,Control,Android,Paid Ads
PF00103,signup_start,2024-02-02,Control,Android,Paid Ads
PF00103,signup_complete,2024-02-02,Control,Android,Paid Ads
PF00103,onboarding_start,2024-02-03,Control,Android,Paid Ads
PF00103,onboarding_complete,2024-02-05,Control,Android,Paid Ads
PF00104,app_open,2024-02-28,Control,iOS,Organic Search
PF00104,signup_start,2024-02-28,Control,iOS,Organic Search
PF00104,signup_complete,2024-02-28,Control,iOS,Organic Search
PF00104,onboarding_start,2024-03-01,Control,iOS,Organic Search
PF00104,onboarding_complete,2024-03-02,Control,iOS,Organic Search
PF00105,app_open,2024-03-29,Control,Android,Referral
PF00105,signup_start,2024-03-30,Control,Android,Referral
PF00105,signup_complete,2024-03-31,Control,Android,Referral
PF00106,app_open,2024-05-30,Variant_B,iOS,Social Media
PF00106,signup_start,2024-05-31,Variant_B,iOS,Social Media
PF00107,app_open,2024-02-28,Variant_B,iOS,Organic Search
PF00107,signup_start,2024-02-29,Variant_B,iOS,Organic Search
PF00107,signup_complete,2024-02-29,Variant_B,iOS,Organic Search
PF00108,app_open,2024-01-02,Control,Web,Paid Ads
PF00108,signup_start,2024-01-03,Control,Web,Paid Ads
PF00108,signup_complete,2024-01-05,Control,Web,Paid Ads
PF00108,onboarding_start,2024-01-06,Control,Web,Paid Ads
PF00108,onboarding_complete,2024-01-08,Control,Web,Paid Ads
PF00109,app_open,2024-06-10,Variant_B,Android,Social Media
PF00109,signup_start,2024-06-11,Variant_B,Android,Social Media
PF00109,signup_complete,2024-06-11,Variant_B,Android,Social Media
PF00110,app_open,2024-02-29,Control,Web,Word of Mouth
PF00110,signup_start,2024-03-02,Control,Web,Word of Mouth
PF00111,app_open,2024-01-10,Variant_B,Android,App Store
PF00111,signup_start,2024-01-11,Variant_B,Android,App Store
PF00111,signup_complete,2024-01-13,Variant_B,Android,App Store
PF00111,onboarding_start,2024-01-13,Variant_B,Android,App Store
PF00111,onboarding_complete,2024-01-14,Variant_B,Android,App Store
PF00111,kyc_submitted,2024-01-15,Variant_B,Android,App Store
PF00112,app_open,2024-01-20,Control,Web,Word of Mouth
PF00112,signup_start,2024-01-21,Control,Web,Word of Mouth
PF00113,app_open,2024-03-12,Control,iOS,Word of Mouth
PF00113,signup_start,2024-03-13,Control,iOS,Word of Mouth
PF00113,signup_complete,2024-03-15,Control,iOS,Word of Mouth
PF00113,onboarding_start,2024-03-16,Control,iOS,Word of Mouth
PF00113,onboarding_complete,2024-03-16,Control,iOS,Word of Mouth
PF00113,kyc_submitted,2024-03-18,Control,iOS,Word of Mouth
PF00113,kyc_approved,2024-03-19,Control,iOS,Word of Mouth
PF00114,app_open,2024-02-25,Control,iOS,App Store
PF00114,signup_start,2024-02-25,Control,iOS,App Store
PF00114,signup_complete,2024-02-26,Control,iOS,App Store
PF00115,app_open,2024-02-04,Control,Android,Social Media
PF00115,signup_start,2024-02-05,Control,Android,Social Media
PF00115,signup_complete,2024-02-07,Control,Android,Social Media
PF00115,onboarding_start,2024-02-08,Control,Android,Social Media
PF00115,onboarding_complete,2024-02-09,Control,Android,Social Media
PF00116,app_open,2024-05-27,Control,iOS,Word of Mouth
PF00116,signup_start,2024-05-29,Control,iOS,Word of Mouth
PF00116,signup_complete,2024-05-29,Control,iOS,Word of Mouth
PF00117,app_open,2024-05-01,Control,Android,Social Media
PF00118,app_open,2024-05-01,Control,iOS,Social Media
PF00118,signup_start,2024-05-02,Control,iOS,Social Media
PF00118,signup_complete,2024-05-03,Control,iOS,Social Media
PF00118,onboarding_start,2024-05-05,Control,iOS,Social Media
PF00119,app_open,2024-02-19,Control,Web,App Store
PF00119,signup_start,2024-02-19,Control,Web,App Store
PF00120,app_open,2024-01-26,Control,Android,Organic Search
PF00120,signup_start,2024-01-26,Control,Android,Organic Search
PF00120,signup_complete,2024-01-27,Control,Android,Organic Search
PF00120,onboarding_start,2024-01-27,Control,Android,Organic Search
PF00120,onboarding_complete,2024-01-28,Control,Android,Organic Search
PF00121,app_open,2024-03-31,Control,Android,App Store
PF00121,signup_start,2024-04-01,Control,Android,App Store
PF00122,app_open,2024-04-15,Control,Web,Social Media
PF00123,app_open,2024-01-14,Variant_B,Android,Organic Search
PF00124,app_open,2024-06-17,Variant_B,Android,Social Media
PF00124,signup_start,2024-06-17,Variant_B,Android,Social Media
PF00124,signup_complete,2024-06-17,Variant_B,Android,Social Media
PF00124,onboarding_start,2024-06-18,Variant_B,Android,Social Media
PF00124,onboarding_complete,2024-06-19,Variant_B,Android,Social Media
PF00124,kyc_submitted,2024-06-21,Variant_B,Android,Social Media
PF00124,kyc_approved,2024-06-22,Variant_B,Android,Social Media
PF00125,app_open,2024-01-17,Variant_B,Android,Organic Search
PF00126,app_open,2024-03-28,Control,Android,Social Media
PF00127,app_open,2024-01-29,Variant_B,Android,Organic Search
PF00127,signup_start,2024-01-30,Variant_B,Android,Organic Search
PF00128,app_open,2024-02-20,Variant_B,Web,Paid Ads
PF00128,signup_start,2024-02-21,Variant_B,Web,Paid Ads
PF00128,signup_complete,2024-02-22,Variant_B,Web,Paid Ads
PF00128,onboarding_start,2024-02-24,Variant_B,Web,Paid Ads
PF00128,onboarding_complete,2024-02-24,Variant_B,Web,Paid Ads
PF00129,app_open,2024-05-18,Variant_B,Web,Paid Ads
PF00129,signup_start,2024-05-19,Variant_B,Web,Paid Ads
PF00129,signup_complete,2024-05-19,Variant_B,Web,Paid Ads
PF00129,onboarding_start,2024-05-20,Variant_B,Web,Paid Ads
PF00130,app_open,2024-02-05,Variant_B,Web,Paid Ads
PF00130,signup_start,2024-02-06,Variant_B,Web,Paid Ads
PF00130,signup_complete,2024-02-08,Variant_B,Web,Paid Ads
PF00131,app_open,2024-02-16,Variant_B,Android,Social Media
PF00131,signup_start,2024-02-18,Variant_B,Android,Social Media
PF00131,signup_complete,2024-02-19,Variant_B,Android,Social Media
PF00131,onboarding_start,2024-02-21,Variant_B,Android,Social Media
PF00131,onboarding_complete,2024-02-22,Variant_B,Android,Social Media
PF00132,app_open,2024-04-29,Variant_B,Android,Social Media
PF00133,app_open,2024-01-20,Control,Android,Referral
PF00133,signup_start,2024-01-22,Control,Android,Referral
PF00133,signup_complete,2024-01-22,Control,Android,Referral
PF00133,onboarding_start,2024-01-23,Control,Android,Referral
PF00133,onboarding_complete,2024-01-25,Control,Android,Referral
PF00134,app_open,2024-05-21,Variant_B,iOS,Word of Mouth
PF00134,signup_start,2024-05-22,Variant_B,iOS,Word of Mouth
PF00135,app_open,2024-01-14,Control,Android,App Store
PF00135,signup_start,2024-01-15,Control,Android,App Store
PF00135,signup_complete,2024-01-15,Control,Android,App Store
PF00136,app_open,2024-01-25,Variant_B,iOS,App Store
PF00136,signup_start,2024-01-26,Variant_B,iOS,App Store
PF00136,signup_complete,2024-01-26,Variant_B,iOS,App Store
