user_id,signup_date,signup_month,channel,device,age_group,state,occupation,ab_variant,completed_onboarding,activated,plan,last_active_date,months_observed,days_since_signup,is_churned
PF00039,2024-06-14,2024-06,Word of Mouth,Web,25-34,Delta,Civil Servant,Variant_B,True,True,Free,2024-08-30,3,108,1
PF00040,2024-06-04,2024-06,App Store,iOS,18-24,Lagos,Trader/Business Owner,Variant_B,True,False,Free,2024-06-05,3,118,1
PF00041,2024-05-16,2024-05,App Store,Android,18-24,Lagos,Freelancer,Control,False,False,Basic,2024-05-17,4,137,1
PF00042,2024-02-11,2024-02,Referral,Android,35-44,Rivers,Salaried Employee,Control,True,True,Premium,2024-02-14,7,232,1
PF00043,2024-04-07,2024-04,Referral,Android,35-44,Lagos,Trader/Business Owner,Control,True,True,Free,2024-04-09,5,176,1
PF00044,2024-06-12,2024-06,Referral,Web,35-44,Lagos,Freelancer,Variant_B,True,True,Free,2024-07-21,3,110,1
PF00045,2024-05-22,2024-05,Social Media,Android,35-44,Lagos,Freelancer,Control,False,False,Free,2024-07-06,4,131,1
PF00046,2024-06-24,2024-06,Referral,Web,25-34,Edo,Trader/Business Owner,Variant_B,True,True,Basic,2024-08-08,3,98,1
PF00047,2024-01-15,2024-01,App Store,Android,25-34,Lagos,Salaried Employee,Control,True,True,Basic,2024-02-07,8,259,1
PF00048,2024-01-09,2024-01,Social Media,iOS,25-34,Kano,Freelancer,Control,False,False,Free,2024-01-11,8,265,1
PF00049,2024-04-12,2024-04,Organic Search,Android,25-34,Lagos,Trader/Business Owner,Variant_B,False,True,Basic,2024-06-07,5,171,1
PF00050,2024-01-17,2024-01,Referral,Web,18-24,Imo,Salaried Employee,Variant_B,True,False,Free,2024-01-18,8,257,1
PF00051,2024-05-25,2024-05,Organic Search,iOS,25-34,Kano,Trader/Business Owner,Variant_B,True,True,Free,2024-05-27,4,128,1
PF00052,2024-02-24,2024-02,Paid Ads,Android,18-24,Lagos,Trader/Business Owner,Control,True,True,Free,2024-02-27,7,219,1
PF00053,2024-04-11,2024-04,Organic Search,iOS,25-34,Anambra,Trader/Business Owner,Control,False,False,Free,2024-04-14,5,172,1
PF00054,2024-02-06,2024-02,Referral,iOS,25-34,Delta,Civil Servant,Control,True,False,Free,2024-02-08,7,237,1
PF00055,2024-02-05,2024-02,Word of Mouth,iOS,25-34,Lagos,Freelancer,Control,True,False,Free,2024-02-06,7,238,1
PF00056,2024-05-23,2024-05,Referral,iOS,18-24,Rivers,Salaried Employee,Control,True,True,Basic,2024-07-16,4,130,1
PF00057,2024-03-08,2024-03,Paid Ads,iOS,25-34,Lagos,Salaried Employee,Control,False,False,Free,2024-03-11,6,206,1
PF00058,2024-05-29,2024-05,Social Media,iOS,25-34,Lagos,Civil Servant,Control,False,False,Free,2024-06-01,4,124,1
PF00059,2024-04-02,2024-04,Word of Mouth,Web,25-34,Lagos,Other,Variant_B,True,False,Free,2024-04-03,6,181,1
PF00060,2024-02-05,2024-02,Organic Search,iOS,35-44,Lagos,Salaried Employee,Variant_B,False,False,Free,2024-02-08,7,238,1
PF00061,2024-01-24,2024-01,Social Media,Web,25-34,Kano,Student,Variant_B,True,True,Premium,2024-01-24,8,250,1
PF00062,2024-01-29,2024-01,Referral,iOS,25-34,Rivers,Student,Control,True,True,Free,2024-01-30,8,245,1
PF00063,2024-06-09,2024-06,App Store,Web,25-34,Lagos,Student,Variant_B,False,False,Free,2024-06-10,3,113,1
PF00064,2024-06-23,2024-06,Social Media,Android,25-34,Kano,Salaried Employee,Control,True,True,Free,2024-08-11,3,99,1
PF00065,2024-06-01,2024-06,App Store,Web,25-34,Oyo,Trader/Business Owner,Control,True,True,Basic,2024-06-01,4,121,1
PF00066,2024-04-08,2024-04,App Store,iOS,35-44,Edo,Student,Control,True,True,Basic,2024-05-12,5,175,1
PF00067,2024-06-01,2024-06,Social Media,Web,35-44,Lagos,Civil Servant,Variant_B,False,False,Free,2024-06-04,4,121,1
PF00068,2024-05-15,2024-05,Paid Ads,Android,18-24,Oyo,Salaried Employee,Variant_B,True,True,Free,2024-06-07,4,138,1
PF00069,2024-05-21,2024-05,Social Media,iOS,35-44,Kaduna,Trader/Business Owner,Variant_B,True,True,Free,2024-05-21,4,132,1
PF00070,2024-06-23,2024-06,Referral,Web,25-34,Kaduna,Salaried Employee,Variant_B,True,False,Free,2024-06-23,3,99,1
PF00071,2024-06-23,2024-06,Social Media,Android,35-44,Abuja,Salaried Employee,Variant_B,True,False,Free,2024-06-25,3,99,1
PF00072,2024-06-13,2024-06,Organic Search,Web,35-44,Imo,Trader/Business Owner,Control,False,True,Free,2024-06-15,3,109,1
PF00073,2024-01-29,2024-01,Referral,Android,35-44,Kaduna,Student,Variant_B,True,True,Free,2024-01-31,8,245,1
PF00074,2024-04-21,2024-04,Paid Ads,iOS,35-44,Kano,Other,Variant_B,True,True,Premium,2024-06-04,5,162,1
PF00075,2024-04-26,2024-04,Referral,Web,18-24,Oyo,Salaried Employee,Variant_B,True,True,Basic,2024-04-26,5,157,1
PF00076,2024-03-08,2024-03,Paid Ads,Android,25-34,Rivers,Civil Servant,Control,True,False,Free,2024-03-09,6,206,1
PF00077,2024-05-09,2024-05,Paid Ads,Android,18-24,Anambra,Trader/Business Owner,Control,True,True,Premium,2024-08-31,4,144,0
PF00078,2024-06-09,2024-06,Organic Search,Android,25-34,Lagos,Salaried Employee,Variant_B,True,True,Basic,2024-09-06,3,113,0
PF00079,2024-06-12,2024-06,Social Media,Android,25-34,Lagos,Trader/Business Owner,Variant_B,True,True,Free,2024-07-15,3,110,1
PF00080,2024-06-04,2024-06,Social Media,iOS,55+,Edo,Student,Variant_B,True,True,Premium,2024-07-05,3,118,1
PF00081,2024-02-09,2024-02,Paid Ads,Android,25-34,Lagos,Trader/Business Owner,Control,False,False,Free,2024-02-11,7,234,1
PF00082,2024-02-11,2024-02,Referral,Web,45-54,Rivers,Student,Control,True,True,Basic,2024-03-18,7,232,1
PF00083,2024-05-15,2024-05,App Store,iOS,25-34,Lagos,Salaried Employee,Control,True,False,Free,2024-05-15,4,138,1
PF00084,2024-06-02,2024-06,Word of Mouth,Android,45-54,Rivers,Civil Servant,Control,True,True,Basic,2024-07-09,4,120,1
PF00085,2024-05-05,2024-05,Paid Ads,Web,45-54,Oyo,Freelancer,Control,False,True,Basic,2024-05-05,4,148,1
PF00086,2024-01-29,2024-01,App Store,Android,35-44,Lagos,Civil Servant,Variant_B,False,False,Free,2024-03-12,8,245,1
PF00087,2024-03-19,2024-03,Paid Ads,Android,35-44,Rivers,Other,Control,True,True,Basic,2024-03-20,6,195,1
PF00088,2024-01-15,2024-01,Paid Ads,Android,18-24,Lagos,Civil Servant,Variant_B,False,False,Free,2024-05-07,8,259,1
PF00089,2024-05-25,2024-05,Referral,Android,55+,Abuja,Salaried Employee,Control,True,False,Free,2024-05-25,4,128,1
PF00090,2024-01-22,2024-01,App Store,Web,18-24,Delta,Civil Servant,Control,False,False,Free,2024-07-22,8,252,1
PF00091,2024-05-04,2024-05,App Store,Android,55+,Lagos,Civil Servant,Control,True,True,Free,2024-06-25,4,149,1
PF00092,2024-01-18,2024-01,Word of Mouth,Android,25-34,Lagos,Student,Variant_B,True,True,Free,2024-09-21,8,256,0
PF00093,2024-05-16,2024-05,Organic Search,Android,25-34,Kano,Salaried Employee,Control,False,False,Basic,2024-05-17,4,137,1
PF00094,2024-02-02,2024-02,Referral,Android,25-34,Lagos,Salaried Employee,Variant_B,True,True,Free,2024-08-19,8,241,1
PF00095,2024-05-01,2024-05,Paid Ads,Web,18-24,Lagos,Trader/Business Owner,Control,True,False,Free,2024-05-02,5,152,1
PF00096,2024-03-08,2024-03,Word of Mouth,iOS,35-44,Kano,Salaried Employee,Control,False,False,Free,2024-03-11,6,206,1
PF00097,2024-02-24,2024-02,Social Media,Android,45-54,Lagos,Other,Variant_B,False,False,Free,2024-05-17,7,219,1
PF00098,2024-06-25,2024-06,Organic Search,Android,25-34,Abuja,Trader/Business Owner,Control,True,False,Free,2024-06-26,3,97,1
PF00099,2024-03-20,2024-03,Social Media,Web,18-24,Anambra,Salaried Employee,Variant_B,True,True,Basic,2024-03-23,6,194,1
PF00100,2024-06-20,2024-06,Social Media,Android,35-44,Lagos,Freelancer,Variant_B,False,True,Free,2024-06-22,3,102,1
PF00101,2024-04-22,2024-04,Referral,Android,45-54,Abuja,Salaried Employee,Control,False,True,Basic,2024-08-26,5,161,1
PF00102,2024-05-12,2024-05,Referral,Android,25-34,Lagos,Civil Servant,Variant_B,True,True,Free,2024-05-15,4,141,1
PF00103,2024-01-31,2024-01,Paid Ads,Android,18-24,Lagos,Freelancer,Control,True,False,Free,2024-06-06,8,243,1
PF00104,2024-02-27,2024-02,Organic Search,iOS,25-34,Lagos,Trader/Business Owner,Control,True,True,Free,2024-05-02,7,216,1
PF00105,2024-03-27,2024-03,Referral,Android,35-44,Lagos,Trader/Business Owner,Control,True,False,Free,2024-03-27,6,187,1
PF00106,2024-05-30,2024-05,Social Media,iOS,55+,Abuja,Trader/Business Owner,Variant_B,True,False,Free,2024-06-16,4,123,1
PF00107,2024-02-28,2024-02,Organic Search,iOS,25-34,Oyo,Trader/Business Owner,Variant_B,True,True,Free,2024-02-29,7,215,1
PF00108,2024-01-02,2024-01,Paid Ads,Web,25-34,Edo,Civil Servant,Control,True,False,Free,2024-03-03,9,272,1
PF00109,2024-06-10,2024-06,Social Media,Android,25-34,Lagos,Student,Variant_B,True,False,Free,2024-06-10,3,112,1
PF00110,2024-02-28,2024-02,Word of Mouth,Web,18-24,Lagos,Salaried Employee,Control,True,True,Basic,2024-07-31,7,215,1
PF00111,2024-01-09,2024-01,App Store,Android,45-54,Lagos,Civil Servant,Variant_B,True,True,Basic,2024-01-11,8,265,1
PF00112,2024-01-19,2024-01,Word of Mouth,Web,25-34,Lagos,Civil Servant,Control,True,False,Free,2024-01-20,8,255,1
PF00113,2024-03-12,2024-03,Word of Mouth,iOS,35-44,Edo,Trader/Business Owner,Control,False,True,Free,2024-03-15,6,202,1
PF00114,2024-02-24,2024-02,App Store,iOS,35-44,Delta,Trader/Business Owner,Control,False,True,Basic,2024-06-16,7,219,1
PF00115,2024-02-03,2024-02,Social Media,Android,25-34,Rivers,Other,Control,False,False,Free,2024-05-23,8,240,1
PF00116,2024-05-26,2024-05,Word of Mouth,iOS,25-34,Oyo,Student,Control,True,True,Free,2024-08-16,4,127,1
PF00117,2024-05-01,2024-05,Social Media,Android,45-54,Oyo,Salaried Employee,Control,True,True,Free,2024-05-02,5,152,1
PF00118,2024-05-01,2024-05,Social Media,iOS,18-24,Imo,Student,Control,True,True,Free,2024-05-04,5,152,1
PF00119,2024-02-18,2024-02,App Store,Web,25-34,Abuja,Trader/Business Owner,Control,False,False,Free,2024-02-18,7,225,1
PF00120,2024-01-25,2024-01,Organic Search,Android,18-24,Lagos,Salaried Employee,Control,True,False,Free,2024-01-28,8,249,1
PF00121,2024-03-31,2024-03,App Store,Android,45-54,Lagos,Freelancer,Control,False,False,Free,2024-09-10,6,183,0
PF00122,2024-04-15,2024-04,Social Media,Web,25-34,Edo,Salaried Employee,Control,False,False,Free,2024-04-18,5,168,1
PF00123,2024-01-14,2024-01,Organic Search,Android,18-24,Lagos,Trader/Business Owner,Variant_B,True,False,Free,2024-08-19,8,260,1
PF00124,2024-06-16,2024-06,Social Media,Android,25-34,Lagos,Trader/Business Owner,Variant_B,False,True,Basic,2024-06-16,3,106,1
PF00125,2024-01-16,2024-01,Organic Search,Android,18-24,Oyo,Trader/Business Owner,Variant_B,True,True,Free,2024-03-13,8,258,1
PF00126,2024-03-27,2024-03,Social Media,Android,25-34,Lagos,Salaried Employee,Control,True,True,Free,2024-05-25,6,187,1
PF00127,2024-01-28,2024-01,Organic Search,Android,55+,Kaduna,Other,Variant_B,True,True,Basic,2024-01-29,8,246,1
PF00128,2024-02-19,2024-02,Paid Ads,Web,25-34,Imo,Trader/Business Owner,Variant_B,False,False,Free,2024-06-05,7,224,1
PF00129,2024-05-17,2024-05,Paid Ads,Web,35-44,Kano,Trader/Business Owner,Variant_B,False,True,Premium,2024-08-12,4,136,1
PF00130,2024-02-05,2024-02,Paid Ads,Web,18-24,Lagos,Salaried Employee,Variant_B,True,True,Free,2024-02-08,7,238,1
PF00131,2024-02-16,2024-02,Social Media,Android,18-24,Imo,Salaried Employee,Variant_B,True,False,Free,2024-03-09,7,227,1
PF00132,2024-04-28,2024-04,Social Media,Android,25-34,Lagos,Salaried Employee,Variant_B,False,False,Free,2024-04-29,5,155,1
PF00133,2024-01-20,2024-01,Referral,Android,35-44,Imo,Trader/Business Owner,Control,False,False,Free,2024-01-23,8,254,1
PF00134,2024-05-20,2024-05,Word of Mouth,iOS,25-34,Lagos,Trader/Business Owner,Variant_B,True,False,Basic,2024-05-20,4,133,1
PF00135,2024-01-13,2024-01,App Store,Android,25-34,Anambra,Freelancer,Control,False,False,Free,2024-01-13,8,261,1
PF00136,2024-01-24,2024-01,App Store,iOS,45-54,Lagos,Trader/Business Owner,Variant_B,False,True,Basic,2024-08-22,8,250,1
PF00137,2024-03-01,2024-03,Organic Search,iOS,18-24,Imo,Salaried Employee,Control,False,False,Free,2024-03-02,7,213,1
PF00138,2024-04-14,2024-04,Paid Ads,Android,18-24,Lagos,Trader/Business Owner,Variant_B,False,True,Basic,2024-04-17,5,169,1
PF00139,2024-05-03,2024-05,Referral,iOS,35-44,Kaduna,Trader/Business Owner,Variant_B,True,True,Free,2024-06-05,5,150,1
PF00140,2024-04-12,2024-04,App Store,Android,25-34,Lagos,Freelancer,Control,True,True,Basic,2024-04-12,5,171,1
PF00141,2024-02-12,2024-02,Paid Ads,iOS,18-24,Abuja,Freelancer,Control,False,False,Free,2024-02-15,7,231,1
PF00142,2024-01-01,2024-01,Word of Mouth,iOS,18-24,Anambra,Trader/Business Owner,Control,False,True,Basic,2024-01-13,9,273,1
PF00143,2024-03-08,2024-03,Paid Ads,Android,35-44,Lagos,Freelancer,Variant_B,True,True,Free,2024-05-25,6,206,1
PF00144,2024-04-26,2024-04,Social Media,Android,35-44,Lagos,Trader/Business Owner,Variant_B,True,True,Premium,2024-05-09,5,157,1
PF00145,2024-04-18,2024-04,Organic Search,iOS,55+,Kano,Civil Servant,Variant_B,False,False,Free,2024-04-21,5,165,1
PF00146,2024-02-09,2024-02,Social Media,Android,45-54,Imo,Trader/Business Owner,Control,True,True,Free,2024-02-10,7,234,1
PF00147,2024-03-16,2024-03,Paid Ads,Android,18-24,Abuja,Salaried Employee,Control,True,True,Free,2024-04-06,6,198,1
PF00148,2024-01-15,2024-01,Organic Search,Android,55+,Kaduna,Salaried Employee,Variant_B,True,True,Free,2024-01-15,8,259,1
PF00149,2024-03-21,2024-03,Word of Mouth,iOS,18-24,Lagos,Salaried Employee,Variant_B,True,True,Basic,2024-04-01,6,193,1
PF00150,2024-01-13,2024-01,Organic Search,Android,25-34,Delta,Trader/Business Owner,Variant_B,False,False,Basic,2024-01-16,8,261,1
PF00151,2024-05-08,2024-05,Word of Mouth,Android,18-24,Lagos,Civil Servant,Variant_B,False,False,Free,2024-05-09,4,145,1
PF00152,2024-01-15,2024-01,Social Media,Web,25-34,Lagos,Student,Variant_B,True,False,Free,2024-03-17,8,259,1
PF00153,2024-01-21,2024-01,Organic Search,Web,35-44,Rivers,Student,Variant_B,False,False,Free,2024-01-22,8,253,1
PF00154,2024-01-18,2024-01,Paid Ads,Android,45-54,Delta,Trader/Business Owner,Control,False,False,Free,2024-01-18,8,256,1
PF00155,2024-06-21,2024-06,Organic Search,Android,45-54,Lagos,Freelancer,Control,True,True,Premium,2024-09-24,3,101,0
PF00156,2024-03-01,2024-03,Paid Ads,Android,35-44,Edo,Trader/Business Owner,Control,False,False,Free,2024-03-04,7,213,1
PF00157,2024-01-31,2024-01,Referral,Android,55+,Lagos,Salaried Employee,Control,True,True,Premium,2024-02-28,8,243,1
PF00158,2024-05-25,2024-05,Referral,iOS,25-34,Kano,Salaried Employee,Variant_B,True,True,Free,2024-09-04,4,128,0
PF00159,2024-05-28,2024-05,Referral,Android,25-34,Delta,Trader/Business Owner,Variant_B,False,False,Free,2024-05-28,4,125,1
PF00160,2024-06-07,2024-06,App Store,Android,25-34,Lagos,Freelancer,Control,True,True,Basic,2024-06-07,3,115,1
PF00161,2024-04-17,2024-04,Word of Mouth,iOS,35-44,Anambra,Salaried Employee,Control,False,True,Premium,2024-09-18,5,166,0
PF00162,2024-05-29,2024-05,Word of Mouth,Android,35-44,Kano,Student,Variant_B,True,True,Free,2024-05-31,4,124,1
PF00163,2024-03-07,2024-03,Referral,iOS,18-24,Lagos,Salaried Employee,Variant_B,True,False,Free,2024-03-08,6,207,1
PF00164,2024-06-20,2024-06,Referral,iOS,25-34,Anambra,Trader/Business Owner,Variant_B,True,True,Free,2024-06-22,3,102,1
PF00165,2024-03-02,2024-03,Social Media,Web,25-34,Lagos,Student,Variant_B,True,False,Free,2024-04-08,7,212,1
PF00166,2024-04-11,2024-04,Social Media,iOS,45-54,Oyo,Trader/Business Owner,Control,True,False,Basic,2024-06-03,5,172,1
PF00167,2024-06-20,2024-06,Organic Search,iOS,35-44,Lagos,Salaried Employee,Control,False,True,Basic,2024-06-22,3,102,1
PF00168,2024-04-27,2024-04,Social Media,iOS,25-34,Oyo,Student,Control,False,True,Basic,2024-04-29,5,156,1
PF00169,2024-01-19,2024-01,Word of Mouth,Android,25-34,Lagos,Trader/Business Owner,Variant_B,True,True,Free,2024-01-31,8,255,1
PF00170,2024-04-27,2024-04,App Store,Android,18-24,Rivers,Civil Servant,Variant_B,True,False,Free,2024-04-27,5,156,1
PF00171,2024-01-19,2024-01,Social Media,iOS,35-44,Oyo,Salaried Employee,Variant_B,True,True,Free,2024-07-16,8,255,1
PF00172,2024-02-24,2024-02,Referral,Android,35-44,Rivers,Freelancer,Variant_B,False,False,Free,2024-09-13,7,219,0
PF00173,2024-03-08,2024-03,Organic Search,Android,18-24,Lagos,Freelancer,Control,True,True,Basic,2024-03-09,6,206,1
PF00174,2024-03-30,2024-03,Organic Search,iOS,18-24,Lagos,Other,Variant_B,True,True,Basic,2024-03-30,6,184,1
PF00175,2024-03-03,2024-03,Organic Search,Android,25-34,Lagos,Other,Control,True,True,Basic,2024-03-05,7,211,1
PF00176,2024-03-13,2024-03,Social Media,Android,35-44,Rivers,Freelancer,Variant_B,True,True,Free,2024-04-05,6,201,1
PF00177,2024-04-22,2024-04,Organic Search,iOS,18-24,Kaduna,Trader/Business Owner,Variant_B,True,False,Basic,2024-04-24,5,161,1
PF00178,2024-06-05,2024-06,Referral,Android,25-34,Abuja,Student,Variant_B,True,True,Premium,2024-06-05,3,117,1
PF00179,2024-06-19,2024-06,Paid Ads,iOS,55+,Lagos,Trader/Business Owner,Variant_B,True,True,Free,2024-06-21,3,103,1
PF00180,2024-06-18,2024-06,Organic Search,Web,25-34,Delta,Freelancer,Variant_B,True,False,Free,2024-06-18,3,104,1
PF00181,2024-02-04,2024-02,App Store,Android,18-24,Imo,Trader/Business Owner,Control,True,False,Free,2024-08-06,7,239,1
PF00182,2024-01-30,2024-01,App Store,Web,45-54,Oyo,Trader/Business Owner,Control,True,True,Free,2024-01-30,8,244,1
PF00183,2024-05-21,2024-05,Referral,Android,18-24,Rivers,Freelancer,Variant_B,True,True,Basic,2024-05-22,4,132,1
PF00184,2024-03-10,2024-03,Social Media,Android,25-34,Lagos,Student,Control,True,True,Premium,2024-03-12,6,204,1
PF00185,2024-06-03,2024-06,Referral,iOS,35-44,Lagos,Student,Variant_B,True,True,Free,2024-09-03,3,119,0
PF00186,2024-03-28,2024-03,Word of Mouth,iOS,25-34,Lagos,Civil Servant,Variant_B,True,True,Basic,2024-08-04,6,186,1
PF00187,2024-06-24,2024-06,Organic Search,Web,18-24,Lagos,Freelancer,Control,False,False,Free,2024-06-26,3,98,1
PF00188,2024-05-09,2024-05,Word of Mouth,Web,25-34,Abuja,Civil Servant,Control,True,False,Free,2024-09-12,4,144,0
PF00189,2024-03-05,2024-03,Organic Search,iOS,35-44,Imo,Freelancer,Control,False,False,Free,2024-03-05,6,209,1
PF00190,2024-01-24,2024-01,App Store,Android,18-24,Kano,Freelancer,Control,True,False,Free,2024-01-27,8,250,1
PF00191,2024-03-11,2024-03,Paid Ads,Android,18-24,Oyo,Freelancer,Variant_B,False,True,Basic,2024-03-11,6,203,1
PF00192,2024-01-01,2024-01,App Store,Android,18-24,Oyo,Trader/Business Owner,Variant_B,True,True,Free,2024-07-09,9,273,1
PF00193,2024-02-03,2024-02,Referral,iOS,25-34,Kaduna,Freelancer,Variant_B,True,False,Free,2024-02-05,8,240,1
PF00194,2024-02-11,2024-02,Paid Ads,Android,35-44,Kano,Salaried Employee,Control,False,False,Free,2024-03-24,7,232,1
PF00195,2024-04-23,2024-04,Organic Search,Android,25-34,Rivers,Freelancer,Control,False,False,Premium,2024-04-26,5,160,1
PF00196,2024-05-23,2024-05,Paid Ads,Android,35-44,Kano,Civil Servant,Control,False,False,Free,2024-05-23,4,130,1
PF00197,2024-01-29,2024-01,Social Media,Android,45-54,Abuja,Salaried Employee,Control,True,False,Free,2024-01-29,8,245,1
PF00198,2024-06-25,2024-06,Word of Mouth,Web,35-44,Edo,Freelancer,Variant_B,True,True,Free,2024-07-27,3,97,1
PF00199,2024-02-08,2024-02,Organic Search,Web,55+,Kaduna,Civil Servant,Variant_B,True,True,Basic,2024-02-08,7,235,1
PF00200,2024-04-04,2024-04,Organic Search,Android,18-24,Lagos,Freelancer,Control,False,False,Basic,2024-04-05,5,179,1
PF00201,2024-04-20,2024-04,Paid Ads,Android,35-44,Oyo,Trader/Business Owner,Variant_B,False,False,Free,2024-04-21,5,163,1
PF00202,2024-01-11,2024-01,Organic Search,Web,18-24,Rivers,Freelancer,Variant_B,True,True,Free,2024-01-13,8,263,1
PF00203,2024-04-03,2024-04,Social Media,Android,35-44,Edo,Other,Control,True,True,Premium,2024-04-03,6,180,1
PF00204,2024-04-01,2024-04,App Store,Web,18-24,Anambra,Freelancer,Control,True,True,Premium,2024-04-02,6,182,1
PF00205,2024-06-23,2024-06,Referral,iOS,25-34,Abuja,Civil Servant,Control,False,False,Free,2024-06-24,3,99,1
PF00206,2024-06-19,2024-06,Organic Search,Android,25-34,Kano,Trader/Business Owner,Variant_B,True,True,Premium,2024-06-19,3,103,1
PF00207,2024-03-31,2024-03,App Store,Android,35-44,Kaduna,Student,Control,True,True,Free,2024-04-24,6,183,1
PF00208,2024-05-23,2024-05,Organic Search,Android,35-44,Lagos,Trader/Business Owner,Control,True,True,Free,2024-05-26,4,130,1
