tx_id,user_id,tx_date,tx_month,tx_type,amount,status,device,channel,state
TX0000070,PF00049,2024-06-18,2024-06,Bill Payment,50.0,Pending,Android,Organic Search,Lagos
TX0000071,PF00049,2024-06-21,2024-06,Savings,34990.0,Success,Android,Organic Search,Lagos
TX0000072,PF00049,2024-06-14,2024-06,Savings,11190.0,Success,Android,Organic Search,Lagos
TX0000073,PF00049,2024-06-03,2024-06,Transfer,31540.0,Success,Android,Organic Search,Lagos
TX0000074,PF00056,2024-06-14,2024-06,Savings,14240.0,Success,iOS,Referral,Rivers
TX0000075,PF00056,2024-06-26,2024-06,Card Payment,9550.0,Success,iOS,Referral,Rivers
TX0000076,PF00056,2024-06-21,2024-06,Bill Payment,21130.0,Success,iOS,Referral,Rivers
TX0000077,PF00056,2024-06-06,2024-06,Bill Payment,9760.0,Success,iOS,Referral,Rivers
TX0000078,PF00056,2024-06-12,2024-06,Data Bundle,2010.0,Success,iOS,Referral,Rivers
TX0000079,PF00056,2024-06-13,2024-06,Bill Payment,7950.0,Success,iOS,Referral,Rivers
TX0000080,PF00056,2024-06-27,2024-06,Bill Payment,10380.0,Success,iOS,Referral,Rivers
TX0000081,PF00056,2024-06-19,2024-06,Transfer,50.0,Success,iOS,Referral,Rivers
TX0000082,PF00056,2024-07-24,2024-07,Bill Payment,15750.0,Success,iOS,Referral,Rivers
TX0000083,PF00056,2024-07-13,2024-07,Savings,22670.0,Success,iOS,Referral,Rivers
TX0000084,PF00056,2024-07-22,2024-07,Transfer,12970.0,Success,iOS,Referral,Rivers
TX0000085,PF00056,2024-07-08,2024-07,Transfer,36780.0,Success,iOS,Referral,Rivers
TX0000086,PF00056,2024-07-19,2024-07,Investment,50.0,Success,iOS,Referral,Rivers
TX0000087,PF00056,2024-07-12,2024-07,Bill Payment,10610.0,Success,iOS,Referral,Rivers
TX0000088,PF00056,2024-07-03,2024-07,Data Bundle,3350.0,Success,iOS,Referral,Rivers
TX0000089,PF00056,2024-07-22,2024-07,Airtime,490.0,Success,iOS,Referral,Rivers
TX0000090,PF00064,2024-06-29,2024-06,Bill Payment,16690.0,Success,Android,Social Media,Kano
TX0000091,PF00064,2024-07-03,2024-07,Investment,46320.0,Success,Android,Social Media,Kano
TX0000092,PF00064,2024-07-10,2024-07,Transfer,23420.0,Success,Android,Social Media,Kano
TX0000093,PF00064,2024-08-25,2024-08,Transfer,50.0,Success,Android,Social Media,Kano
TX0000094,PF00064,2024-08-14,2024-08,Transfer,50.0,Success,Android,Social Media,Kano
TX0000095,PF00066,2024-05-23,2024-05,Savings,2490.0,Success,iOS,App Store,Edo
TX0000096,PF00066,2024-05-22,2024-05,Data Bundle,3680.0,Pending,iOS,App Store,Edo
TX0000097,PF00066,2024-05-05,2024-05,Savings,8370.0,Success,iOS,App Store,Edo
TX0000098,PF00066,2024-05-11,2024-05,Bill Payment,8280.0,Success,iOS,App Store,Edo
TX0000099,PF00066,2024-05-09,2024-05,Savings,25260.0,Success,iOS,App Store,Edo
TX0000100,PF00066,2024-05-06,2024-05,Airtime,150.0,Success,iOS,App Store,Edo
TX0000101,PF00066,2024-05-02,2024-05,Transfer,52250.0,Success,iOS,App Store,Edo
TX0000102,PF00066,2024-05-16,2024-05,Bill Payment,49800.0,Success,iOS,App Store,Edo
TX0000103,PF00066,2024-05-26,2024-05,Transfer,17720.0,Success,iOS,App Store,Edo
TX0000104,PF00066,2024-05-05,2024-05,Transfer,36700.0,Success,iOS,App Store,Edo
TX0000105,PF00066,2024-05-22,2024-05,Investment,45470.0,Success,iOS,App Store,Edo
TX0000106,PF00066,2024-05-17,2024-05,Transfer,43380.0,Success,iOS,App Store,Edo
TX0000107,PF00068,2024-06-24,2024-06,Airtime,640.0,Success,Android,Paid Ads,Oyo
TX0000108,PF00068,2024-06-25,2024-06,Airtime,600.0,Success,Android,Paid Ads,Oyo
TX0000109,PF00068,2024-06-02,2024-06,Transfer,11420.0,Success,Android,Paid Ads,Oyo
TX0000110,PF00068,2024-06-22,2024-06,Bill Payment,1730.0,Success,Android,Paid Ads,Oyo
TX0000111,PF00068,2024-06-03,2024-06,Transfer,215600.0,Success,Android,Paid Ads,Oyo
TX0000112,PF00068,2024-06-01,2024-06,Transfer,46400.0,Success,Android,Paid Ads,Oyo
TX0000113,PF00074,2024-06-03,2024-06,Airtime,1670.0,Success,iOS,Paid Ads,Kano
TX0000114,PF00074,2024-06-05,2024-06,Transfer,19360.0,Success,iOS,Paid Ads,Kano
TX0000115,PF00074,2024-06-18,2024-06,Bill Payment,21200.0,Success,iOS,Paid Ads,Kano
TX0000116,PF00074,2024-06-03,2024-06,Transfer,26980.0,Success,iOS,Paid Ads,Kano
TX0000117,PF00074,2024-06-27,2024-06,Transfer,73460.0,Success,iOS,Paid Ads,Kano
TX0000118,PF00074,2024-06-25,2024-06,Airtime,1110.0,Success,iOS,Paid Ads,Kano
TX0000119,PF00074,2024-06-19,2024-06,Investment,163400.0,Success,iOS,Paid Ads,Kano
TX0000120,PF00074,2024-06-08,2024-06,Transfer,11220.0,Success,iOS,Paid Ads,Kano
TX0000121,PF00074,2024-06-18,2024-06,Transfer,40850.0,Success,iOS,Paid Ads,Kano
TX0000122,PF00074,2024-06-01,2024-06,Airtime,1600.0,Success,iOS,Paid Ads,Kano
TX0000123,PF00077,2024-05-31,2024-05,Data Bundle,1040.0,Success,Android,Paid Ads,Anambra
TX0000124,PF00077,2024-06-11,2024-06,Transfer,91090.0,Success,Android,Paid Ads,Anambra
TX0000125,PF00077,2024-06-22,2024-06,Data Bundle,3660.0,Success,Android,Paid Ads,Anambra
TX0000126,PF00077,2024-05-30,2024-05,Transfer,400.0,Failed,Android,Paid Ads,Anambra
TX0000127,PF00077,2024-06-15,2024-06,Transfer,38320.0,Success,Android,Paid Ads,Anambra
TX0000128,PF00077,2024-06-06,2024-06,Transfer,50.0,Success,Android,Paid Ads,Anambra
TX0000129,PF00077,2024-06-12,2024-06,Card Payment,12930.0,Success,Android,Paid Ads,Anambra
TX0000130,PF00077,2024-06-07,2024-06,Transfer,77750.0,Success,Android,Paid Ads,Anambra
TX0000131,PF00077,2024-06-14,2024-06,Transfer,44050.0,Success,Android,Paid Ads,Anambra
TX0000132,PF00077,2024-06-04,2024-06,Airtime,1130.0,Success,Android,Paid Ads,Anambra
TX0000133,PF00077,2024-06-05,2024-06,Investment,37850.0,Success,Android,Paid Ads,Anambra
TX0000134,PF00077,2024-06-21,2024-06,Bill Payment,15400.0,Success,Android,Paid Ads,Anambra
TX0000135,PF00077,2024-06-16,2024-06,Airtime,1520.0,Failed,Android,Paid Ads,Anambra
TX0000136,PF00077,2024-06-13,2024-06,Card Payment,15730.0,Success,Android,Paid Ads,Anambra
TX0000137,PF00077,2024-07-10,2024-07,Airtime,980.0,Success,Android,Paid Ads,Anambra
TX0000138,PF00077,2024-06-29,2024-06,Transfer,69680.0,Success,Android,Paid Ads,Anambra
TX0000139,PF00077,2024-07-16,2024-07,Airtime,1380.0,Success,Android,Paid Ads,Anambra
TX0000140,PF00077,2024-07-04,2024-07,Transfer,533500.0,Success,Android,Paid Ads,Anambra
TX0000141,PF00077,2024-07-11,2024-07,Airtime,740.0,Success,Android,Paid Ads,Anambra
TX0000142,PF00077,2024-07-15,2024-07,Transfer,6760.0,Success,Android,Paid Ads,Anambra
TX0000143,PF00077,2024-07-21,2024-07,Airtime,1130.0,Success,Android,Paid Ads,Anambra
TX0000144,PF00077,2024-07-01,2024-07,Bill Payment,27420.0,Success,Android,Paid Ads,Anambra
TX0000145,PF00077,2024-07-20,2024-07,Airtime,1240.0,Success,Android,Paid Ads,Anambra
TX0000146,PF00077,2024-07-13,2024-07,Airtime,1050.0,Success,Android,Paid Ads,Anambra
TX0000147,PF00077,2024-08-03,2024-08,Transfer,50.0,Success,Android,Paid Ads,Anambra
TX0000148,PF00077,2024-08-23,2024-08,Data Bundle,15100.0,Success,Android,Paid Ads,Anambra
TX0000149,PF00077,2024-08-09,2024-08,Transfer,20240.0,Success,Android,Paid Ads,Anambra
TX0000150,PF00077,2024-08-13,2024-08,Savings,20780.0,Success,Android,Paid Ads,Anambra
TX0000151,PF00077,2024-08-12,2024-08,Bill Payment,25480.0,Success,Android,Paid Ads,Anambra
TX0000152,PF00077,2024-08-08,2024-08,Bill Payment,26100.0,Success,Android,Paid Ads,Anambra
TX0000153,PF00077,2024-09-05,2024-09,Bill Payment,32350.0,Success,Android,Paid Ads,Anambra
TX0000154,PF00077,2024-09-20,2024-09,Airtime,1360.0,Success,Android,Paid Ads,Anambra
TX0000155,PF00077,2024-09-08,2024-09,Transfer,21580.0,Success,Android,Paid Ads,Anambra
TX0000156,PF00077,2024-09-14,2024-09,Data Bundle,1510.0,Success,Android,Paid Ads,Anambra
TX0000157,PF00077,2024-09-17,2024-09,Bill Payment,22610.0,Success,Android,Paid Ads,Anambra
TX0000158,PF00077,2024-09-05,2024-09,Transfer,68010.0,Success,Android,Paid Ads,Anambra
TX0000159,PF00077,2024-09-12,2024-09,Data Bundle,3090.0,Pending,Android,Paid Ads,Anambra
TX0000160,PF00077,2024-09-01,2024-09,Savings,13730.0,Success,Android,Paid Ads,Anambra
TX0000161,PF00077,2024-09-09,2024-09,Bill Payment,24130.0,Pending,Android,Paid Ads,Anambra
TX0000162,PF00077,2024-09-01,2024-09,Bill Payment,20960.0,Success,Android,Paid Ads,Anambra
TX0000163,PF00077,2024-09-24,2024-09,Transfer,73470.0,Success,Android,Paid Ads,Anambra
TX0000164,PF00078,2024-07-17,2024-07,Investment,12000.0,Success,Android,Organic Search,Lagos
TX0000165,PF00078,2024-06-30,2024-06,Bill Payment,5400.0,Success,Android,Organic Search,Lagos
TX0000166,PF00078,2024-07-09,2024-07,Savings,6450.0,Pending,Android,Organic Search,Lagos
TX0000167,PF00078,2024-07-03,2024-07,Bill Payment,15460.0,Success,Android,Organic Search,Lagos
TX0000168,PF00078,2024-07-18,2024-07,Data Bundle,2140.0,Success,Android,Organic Search,Lagos
TX0000169,PF00078,2024-07-01,2024-07,Bill Payment,11870.0,Success,Android,Organic Search,Lagos
TX0000170,PF00078,2024-07-15,2024-07,Savings,8800.0,Success,Android,Organic Search,Lagos
TX0000171,PF00078,2024-08-24,2024-08,Bill Payment,11660.0,Success,Android,Organic Search,Lagos
TX0000172,PF00078,2024-08-22,2024-08,Data Bundle,2010.0,Success,Android,Organic Search,Lagos
TX0000173,PF00078,2024-08-25,2024-08,Transfer,56010.0,Success,Android,Organic Search,Lagos
TX0000174,PF00078,2024-08-19,2024-08,Bill Payment,13010.0,Success,Android,Organic Search,Lagos
TX0000175,PF00078,2024-08-21,2024-08,Transfer,26650.0,Success,Android,Organic Search,Lagos
TX0000176,PF00078,2024-08-12,2024-08,Transfer,50.0,Success,Android,Organic Search,Lagos
TX0000177,PF00078,2024-09-09,2024-09,Transfer,62760.0,Success,Android,Organic Search,Lagos
TX0000178,PF00078,2024-09-25,2024-09,Transfer,50.0,Success,Android,Organic Search,Lagos
TX0000179,PF00078,2024-09-18,2024-09,Airtime,670.0,Success,Android,Organic Search,Lagos
TX0000180,PF00078,2024-09-14,2024-09,Transfer,8130.0,Success,Android,Organic Search,Lagos
TX0000181,PF00078,2024-09-04,2024-09,Savings,19230.0,Success,Android,Organic Search,Lagos
TX0000182,PF00079,2024-07-22,2024-07,Bill Payment,12280.0,Success,Android,Social Media,Lagos
TX0000183,PF00079,2024-07-02,2024-07,Transfer,650.0,Success,Android,Social Media,Lagos
TX0000184,PF00079,2024-07-11,2024-07,Bill Payment,12040.0,Success,Android,Social Media,Lagos
TX0000185,PF00079,2024-06-30,2024-06,Investment,50.0,Success,Android,Social Media,Lagos
TX0000186,PF00079,2024-07-16,2024-07,Data Bundle,1180.0,Success,Android,Social Media,Lagos
TX0000187,PF00080,2024-07-26,2024-07,Bill Payment,16960.0,Success,iOS,Social Media,Edo
TX0000188,PF00080,2024-07-04,2024-07,Data Bundle,4530.0,Success,iOS,Social Media,Edo
TX0000189,PF00080,2024-07-21,2024-07,Bill Payment,18870.0,Success,iOS,Social Media,Edo
TX0000190,PF00080,2024-07-13,2024-07,Airtime,1050.0,Success,iOS,Social Media,Edo
TX0000191,PF00080,2024-07-02,2024-07,Airtime,740.0,Success,iOS,Social Media,Edo
TX0000192,PF00080,2024-07-19,2024-07,Card Payment,8620.0,Success,iOS,Social Media,Edo
TX0000193,PF00080,2024-07-14,2024-07,Transfer,28500.0,Success,iOS,Social Media,Edo
TX0000194,PF00080,2024-07-04,2024-07,Airtime,1110.0,Success,iOS,Social Media,Edo
TX0000195,PF00080,2024-07-01,2024-07,Transfer,4970.0,Pending,iOS,Social Media,Edo
TX0000196,PF00080,2024-07-13,2024-07,Transfer,23460.0,Success,iOS,Social Media,Edo
TX0000197,PF00080,2024-07-20,2024-07,Investment,86250.0,Success,iOS,Social Media,Edo
TX0000198,PF00082,2024-03-07,2024-03,Bill Payment,15590.0,Success,Web,Referral,Rivers
TX0000199,PF00082,2024-03-07,2024-03,Transfer,67180.0,Success,Web,Referral,Rivers
TX0000200,PF00082,2024-03-15,2024-03,Data Bundle,1100.0,Success,Web,Referral,Rivers
TX0000201,PF00082,2024-03-26,2024-03,Transfer,40330.0,Success,Web,Referral,Rivers
TX0000202,PF00082,2024-03-23,2024-03,Airtime,580.0,Success,Web,Referral,Rivers
TX0000203,PF00084,2024-07-22,2024-07,Transfer,18500.0,Success,Android,Word of Mouth,Rivers
TX0000204,PF00084,2024-07-05,2024-07,Bill Payment,21640.0,Success,Android,Word of Mouth,Rivers
TX0000205,PF00084,2024-07-17,2024-07,Airtime,900.0,Success,Android,Word of Mouth,Rivers
TX0000206,PF00084,2024-07-19,2024-07,Airtime,510.0,Success,Android,Word of Mouth,Rivers
TX0000207,PF00084,2024-07-17,2024-07,Airtime,810.0,Success,Android,Word of Mouth,Rivers
TX0000208,PF00084,2024-07-04,2024-07,Transfer,24190.0,Success,Android,Word of Mouth,Rivers
TX0000209,PF00084,2024-07-25,2024-07,Transfer,50.0,Success,Android,Word of Mouth,Rivers
TX0000210,PF00084,2024-06-29,2024-06,Savings,13770.0,Success,Android,Word of Mouth,Rivers
TX0000211,PF00084,2024-07-09,2024-07,Bill Payment,8890.0,Success,Android,Word of Mouth,Rivers
TX0000212,PF00084,2024-07-04,2024-07,Data Bundle,2030.0,Pending,Android,Word of Mouth,Rivers
TX0000213,PF00091,2024-06-04,2024-06,Airtime,50.0,Success,Android,App Store,Lagos
TX0000214,PF00091,2024-06-03,2024-06,Savings,12080.0,Success,Android,App Store,Lagos
TX0000215,PF00091,2024-06-17,2024-06,Bill Payment,19350.0,Success,Android,App Store,Lagos
TX0000216,PF00091,2024-06-17,2024-06,Airtime,300.0,Success,Android,App Store,Lagos
TX0000217,PF00091,2024-06-18,2024-06,Transfer,25390.0,Success,Android,App Store,Lagos
TX0000218,PF00091,2024-06-05,2024-06,Savings,50.0,Success,Android,App Store,Lagos
TX0000219,PF00092,2024-09-20,2024-09,Investment,35840.0,Success,Android,Word of Mouth,Lagos
TX0000220,PF00092,2024-09-10,2024-09,Transfer,2950.0,Success,Android,Word of Mouth,Lagos
TX0000221,PF00094,2024-03-29,2024-03,Transfer,155900.0,Success,Android,Referral,Lagos
TX0000222,PF00094,2024-03-04,2024-03,Transfer,1900.0,Success,Android,Referral,Lagos
TX0000223,PF00094,2024-03-24,2024-03,Transfer,50.0,Success,Android,Referral,Lagos
TX0000224,PF00094,2024-03-14,2024-03,Savings,13600.0,Failed,Android,Referral,Lagos
TX0000225,PF00094,2024-03-26,2024-03,Card Payment,50.0,Success,Android,Referral,Lagos
TX0000226,PF00094,2024-04-10,2024-04,Savings,15650.0,Success,Android,Referral,Lagos
TX0000227,PF00094,2024-04-21,2024-04,Airtime,1060.0,Success,Android,Referral,Lagos
TX0000228,PF00094,2024-04-27,2024-04,Data Bundle,560.0,Pending,Android,Referral,Lagos
TX0000229,PF00094,2024-05-18,2024-05,Transfer,20160.0,Success,Android,Referral,Lagos
TX0000230,PF00094,2024-05-02,2024-05,Bill Payment,10270.0,Success,Android,Referral,Lagos
TX0000231,PF00094,2024-05-20,2024-05,Card Payment,9810.0,Success,Android,Referral,Lagos
TX0000232,PF00094,2024-05-09,2024-05,Data Bundle,50.0,Success,Android,Referral,Lagos
TX0000233,PF00094,2024-06-06,2024-06,Transfer,38210.0,Success,Android,Referral,Lagos
TX0000234,PF00094,2024-06-16,2024-06,Bill Payment,2850.0,Success,Android,Referral,Lagos
TX0000235,PF00094,2024-06-16,2024-06,Data Bundle,1150.0,Success,Android,Referral,Lagos
TX0000236,PF00094,2024-06-03,2024-06,Bill Payment,15420.0,Success,Android,Referral,Lagos
TX0000237,PF00094,2024-06-06,2024-06,Transfer,53670.0,Success,Android,Referral,Lagos
TX0000238,PF00094,2024-07-27,2024-07,Transfer,50.0,Success,Android,Referral,Lagos
TX0000239,PF00094,2024-07-04,2024-07,Transfer,50.0,Success,Android,Referral,Lagos
TX0000240,PF00094,2024-07-09,2024-07,Data Bundle,2090.0,Success,Android,Referral,Lagos
TX0000241,PF00094,2024-07-19,2024-07,Savings,9330.0,Success,Android,Referral,Lagos
TX0000242,PF00094,2024-07-10,2024-07,Data Bundle,1620.0,Success,Android,Referral,Lagos
TX0000243,PF00094,2024-08-20,2024-08,Card Payment,14130.0,Success,Android,Referral,Lagos
TX0000244,PF00094,2024-08-05,2024-08,Bill Payment,34100.0,Success,Android,Referral,Lagos
TX0000245,PF00094,2024-08-25,2024-08,Transfer,50.0,Failed,Android,Referral,Lagos
TX0000246,PF00094,2024-08-26,2024-08,Card Payment,8240.0,Success,Android,Referral,Lagos
TX0000247,PF00101,2024-05-17,2024-05,Bill Payment,5490.0,Success,Android,Referral,Abuja
TX0000248,PF00101,2024-05-06,2024-05,Transfer,12010.0,Success,Android,Referral,Abuja
TX0000249,PF00101,2024-05-10,2024-05,Airtime,830.0,Success,Android,Referral,Abuja
TX0000250,PF00101,2024-05-17,2024-05,Airtime,1050.0,Success,Android,Referral,Abuja
TX0000251,PF00101,2024-05-09,2024-05,Bill Payment,650.0,Success,Android,Referral,Abuja
TX0000252,PF00101,2024-05-08,2024-05,Transfer,14400.0,Success,Android,Referral,Abuja
TX0000253,PF00101,2024-06-12,2024-06,Airtime,610.0,Success,Android,Referral,Abuja
TX0000254,PF00101,2024-06-02,2024-06,Savings,15690.0,Success,Android,Referral,Abuja
TX0000255,PF00101,2024-06-14,2024-06,Data Bundle,3700.0,Success,Android,Referral,Abuja
TX0000256,PF00101,2024-06-13,2024-06,Transfer,66020.0,Success,Android,Referral,Abuja
TX0000257,PF00101,2024-08-21,2024-08,Transfer,15890.0,Success,Android,Referral,Abuja
TX0000258,PF00101,2024-08-21,2024-08,Investment,75360.0,Success,Android,Referral,Abuja
TX0000259,PF00101,2024-08-26,2024-08,Bill Payment,5960.0,Success,Android,Referral,Abuja
TX0000260,PF00101,2024-08-13,2024-08,Airtime,820.0,Success,Android,Referral,Abuja
TX0000261,PF00101,2024-08-05,2024-08,Airtime,880.0,Success,Android,Referral,Abuja
TX0000262,PF00101,2024-08-03,2024-08,Data Bundle,11800.0,Success,Android,Referral,Abuja
TX0000263,PF00101,2024-08-07,2024-08,Data Bundle,1320.0,Success,Android,Referral,Abuja
TX0000264,PF00101,2024-08-05,2024-08,Airtime,890.0,Success,Android,Referral,Abuja
TX0000265,PF00101,2024-07-29,2024-07,Transfer,15280.0,Failed,Android,Referral,Abuja
TX0000266,PF00101,2024-08-16,2024-08,Airtime,860.0,Success,Android,Referral,Abuja
TX0000267,PF00104,2024-05-10,2024-05,Transfer,28090.0,Success,iOS,Organic Search,Lagos
TX0000268,PF00104,2024-05-08,2024-05,Savings,3030.0,Success,iOS,Organic Search,Lagos
TX0000269,PF00104,2024-05-27,2024-05,Airtime,870.0,Success,iOS,Organic Search,Lagos
TX0000270,PF00110,2024-06-07,2024-06,Bill Payment,25700.0,Success,Web,Word of Mouth,Lagos
TX0000271,PF00110,2024-06-17,2024-06,Card Payment,14300.0,Success,Web,Word of Mouth,Lagos
TX0000272,PF00110,2024-06-24,2024-06,Transfer,60910.0,Success,Web,Word of Mouth,Lagos
TX0000273,PF00110,2024-07-23,2024-07,Airtime,830.0,Success,Web,Word of Mouth,Lagos
TX0000274,PF00110,2024-07-14,2024-07,Transfer,50.0,Success,Web,Word of Mouth,Lagos
TX0000275,PF00110,2024-07-18,2024-07,Investment,12870.0,Success,Web,Word of Mouth,Lagos
TX0000276,PF00110,2024-07-21,2024-07,Transfer,43910.0,Success,Web,Word of Mouth,Lagos
TX0000277,PF00110,2024-07-22,2024-07,Transfer,23700.0,Success,Web,Word of Mouth,Lagos
TX0000278,PF00110,2024-07-02,2024-07,Investment,50.0,Success,Web,Word of Mouth,Lagos
TX0000279,PF00110,2024-07-04,2024-07,Bill Payment,19070.0,Success,Web,Word of Mouth,Lagos
